date,prcp,srad,tmax,tmin,vp,wl,q
2019-02-03,2.966441500059838,218.82567076353257,4.115374997658031,-5.979406514536013,391.4253545258238,3.601,5.02
2019-02-04,11.200725365850502,176.33461821303672,8.494404578060147,1.176457553135654,665.1835147696985,3.979,13.4
2019-02-05,4.42356760387178,231.472330056784,2.108402302770552,-7.414152096437407,350.29520289202384,4.725,82.9
2019-02-06,3.4768393691944945,179.24877994089044,-3.290304020000696,-9.30860574564708,302.1114052582581,4.311,50.1
2019-02-07,3.370604985170512,230.46491546422575,3.222842564591504,-6.419643791591013,378.2730051428466,4.045,27.9
2019-02-08,4.484016972524514,223.27824844681723,-1.1013164985140391,-10.28144844241026,279.6716671509725,3.863,16.8
2019-02-09,9.389327220253756,172.99992978606323,-7.1791019807181735,-13.368745718539172,218.1027431911563,3.712,9.72
2019-02-10,4.58207500972788,199.55280215084335,-5.631453909885745,-12.999964241341754,224.7433372537233,3.716,7.72
2019-02-11,1.084502013158625,160.04757094608885,-6.356695519579125,-10.763275529516294,269.16581433951325,3.641,6.41
2019-02-12,14.643212890284058,259.1197927682275,-1.470865574211378,-12.065108773129344,242.58408233852845,3.616,5.65
2019-02-13,6.868832616739699,168.11177255964753,-3.664444368078077,-9.13059901229057,306.2882065041514,3.599,5.06
2019-02-14,2.632721984098186,285.8050454714493,0.9209836821280536,-8.590699938951653,319.6413602205101,3.567,4.53
2019-02-15,3.269362125910328,219.1446747664296,-0.0260596723588875,-6.880639814527718,364.87629362196617,3.541,4.08
2019-02-16,0.0,287.2496198532177,-5.483597235653592,-12.440942876728268,235.21158282170373,3.526,3.71
2019-02-17,3.066334439737379,279.88779384049656,-7.425610964845634,-16.328328540922772,170.91416642719173,3.518,3.4
2019-02-18,0.0,330.2802121652891,-6.732499804068406,-15.06763335694514,189.68996850399068,3.529,3.14
2019-02-19,0.0,422.904382013568,-6.425464132823364,-20.648223414832696,118.14390369302218,3.517,2.91
2019-02-20,0.9132075500213972,446.1398469400232,0.2136657559076659,-18.523080744659048,141.83406710096526,3.511,2.77
2019-02-21,0.0,262.33484370806417,-0.1637564343510117,-6.16659510320075,385.4156034024263,3.482,2.64
2019-02-22,0.0,331.5310119628907,-1.2780195009275486,-9.239911403050971,303.59499831613743,3.489,2.52
