date,prcp,srad,tmax,tmin,vp
1990-01-20,3.922509640021307,180.45740794084136,-1.2323368424012129,-9.41263962600359,299.51523837021614
1990-01-21,7.320611161139258,178.5573122458972,-1.9270717613495907,-9.729140865461808,292.3038156425092
1990-01-22,2.5379882974870744,183.54184089904638,-1.9131457999503618,-9.199873884562335,304.8056005542375
1990-01-23,6.276606151717318,201.49925368869927,2.7783629699076946,-6.894540498960901,364.45652584883317
1990-01-24,1.3691059499769804,167.82709523536735,1.838639750451362,-3.0237408383185227,488.90473517082154
1990-01-25,8.01868863681673,192.91890590427693,4.37252794388862,-4.153783165136172,449.20244153598566
1990-01-26,0.0,118.92408731042012,-1.3220220343462132,-4.393172334835857,441.1356716675743
1990-01-27,0.0,290.6893543905974,5.190407563157832,-5.769825399830139,397.2988700037503
1990-01-28,0.0,180.9296377960617,-1.5496192134812175,-6.332477960562372,380.5959332351567
1990-01-29,1.80454322968184,198.11493777088128,-1.2826945496303646,-7.054540618084031,359.98452949603274
1990-01-30,0.0,237.63937848101557,-0.23226982492571413,-6.8720633086380865,365.0810298489211
1990-01-31,0.0,213.79968787910923,0.5006488551530155,-5.242288095797346,413.6227759455992
1990-02-01,3.6498907275470778,222.40225501276225,2.9223414591604144,-6.988671610991412,361.8540424005724
1990-02-02,1.9800230079898606,86.10080296763888,-7.491779119371432,-9.77014917815903,291.33972072512057
1990-02-03,8.63520625864412,93.73655865635037,-9.074779533998951,-11.929361735317656,245.12989481729082
1990-02-04,0.0,264.18028944990516,-5.542328520157162,-12.577786474449836,232.58930321553072
1990-02-05,0.0,351.88029967123083,-0.49192576550520695,-16.47519767730731,168.71671055621678
1990-02-06,0.0,233.43752921516557,1.5659434485481198,-4.332955152059806,443.12085305748036
1990-02-07,0.0,203.16430986109853,1.6664118546297073,-3.1637142643324734,483.6997858308346
1990-02-08,4.489872205953269,219.32496620382545,6.156230229371793,-2.0002353087749514,527.5949440232555
1990-02-09,0.03243304738892099,193.7458838430595,5.024206779809654,0.4462215938847523,631.0417064676669
1990-02-10,0.0,112.74053905108178,-2.415880856765663,-4.800496876060001,427.83259457961634
1990-02-11,0.0,235.0365933526884,-3.6489352494664224,-9.048219630418194,308.20810864310204
1990-02-12,0.0,350.71923438303804,3.8629067354086346,-7.117768711865227,358.2565812274064
1990-02-13,3.5829760172592753,261.1849949947323,6.552929869332909,-4.230499880137508,446.6005177319827
1990-02-14,6.516083723284961,126.76641364958043,-5.717080666940782,-9.230570592399195,304.1323486266631
1990-02-15,6.572613690898125,132.77762326380895,-7.064205856417467,-10.613795512242053,272.3740326011051
1990-02-16,2.969574555010767,269.8747201718208,0.09084782893810608,-9.524660165211959,296.9185341605406
1990-02-17,0.0,327.31099582360696,-10.467908023473692,-18.098772451757334,147.19080936582642
1990-02-18,0.0,416.8713670759358,-1.0629596949061475,-21.28975532125572,111.62148784299228
1990-02-19,0.6385560974517467,196.8162842574495,-3.9194360618565307,-8.15187811982924,330.7688401528219
1990-02-20,0.0,349.418325488467,-5.319162300714159,-13.871804796719521,209.70509346978332
1990-02-21,0.0,420.7857415564783,4.264370975750723,-11.908352811517535,245.5233087261953
1990-02-22,26.550485816277128,228.9334768050299,4.327864986422529,-2.668932133679799,502.02213340953705
1990-02-23,2.488861286913705,81.48185404439303,-2.866861351076911,-4.748423556663442,429.5600374563995
1990-02-24,4.38617422119504,206.62544014008793,-7.2371594540011595,-12.827901911915314,228.05961335668692
1990-02-25,0.7746788870882257,249.46095876887136,-15.93269093752652,-21.13384588477642,113.18055617470827
1990-02-26,2.1497194494356635,401.9169952329099,-4.793192539293199,-23.14802269402484,94.77973220942235
1990-02-27,3.211643204048036,299.8067211954532,-1.9651001019530239,-12.023511703846303,243.27844559654147
1990-02-28,0.0,265.31356854054445,-6.0903019405130445,-11.378137227854126,256.1993043296485
1990-03-01,0.0,444.73800576260146,0.7703408755255493,-12.565137053819235,232.8248691894088
1990-03-02,0.0,333.07592262728303,2.8137899631782557,-4.459271452216764,438.87335152330957
1990-03-03,0.0,191.98058216602803,-8.011164533360452,-11.582237275398096,252.1556305640822
1990-03-04,0.0,410.0456308937173,-8.02001066236092,-17.66896192105065,152.7874098651309
