﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,Date,Value,SYM
02GA014,1,1948/11/19,1.90,
02GA014,1,1948/11/20,1.90,
02GA014,1,1948/11/21,3.26,
02GA014,1,1948/11/22,3.17,
02GA014,1,1948/11/23,3.26,
02GA014,1,1948/11/24,3.26,
02GA014,1,1948/11/25,2.89,
02GA014,1,1948/11/26,2.52,
02GA014,1,1948/11/27,2.52,
02GA014,1,1948/11/28,2.21,
02GA014,1,1948/11/29,1.90,
02GA014,1,1948/11/30,1.90,
02GA014,1,1948/12/01,1.78,
02GA014,1,1948/12/02,1.64,
02GA014,1,1948/12/03,1.39,
02GA014,1,1948/12/04,1.39,
02GA014,1,1948/12/05,0.963,
02GA014,1,1948/12/06,0.963,
02GA014,1,1948/12/07,0.850,
02GA014,1,1948/12/08,0.793,
02GA014,1,1948/12/09,0.793,
02GA014,1,1948/12/10,0.793,
02GA014,1,1948/12/11,0.736,
02GA014,1,1948/12/12,1.39,
02GA014,1,1948/12/13,1.39,
02GA014,1,1948/12/14,1.39,
02GA014,1,1948/12/15,0.368,
02GA014,1,1948/12/16,1.39,
02GA014,1,1948/12/17,0.963,
02GA014,1,1948/12/18,0.963,E
02GA014,1,1948/12/19,0.963,
02GA014,1,1948/12/20,0.906,
02GA014,1,1948/12/21,0.793,
02GA014,1,1948/12/22,0.623,
02GA014,1,1948/12/23,0.623,
02GA014,1,1948/12/24,0.623,
02GA014,1,1948/12/25,0.623,E
02GA014,1,1948/12/26,0.623,E
02GA014,1,1948/12/27,0.623,
02GA014,1,1948/12/28,0.623,B
02GA014,1,1948/12/29,0.623,B
02GA014,1,1948/12/30,0.623,B
02GA014,1,1948/12/31,0.623,B
02GA014,1,1949/01/01,9.32,B
02GA014,1,1949/01/02,9.32,B
02GA014,1,1949/01/03,9.32,B
02GA014,1,1949/01/04,9.32,B
02GA014,1,1949/01/05,9.32,B
02GA014,1,1949/01/06,9.32,B
02GA014,1,1949/01/07,9.32,B
02GA014,1,1949/01/08,9.32,B
02GA014,1,1949/01/09,9.32,B
02GA014,1,1949/01/10,9.32,B
02GA014,1,1949/01/11,9.32,B
02GA014,1,1949/01/12,9.32,B
02GA014,1,1949/01/13,9.32,B
02GA014,1,1949/01/14,9.32,B
02GA014,1,1949/01/15,9.32,B
02GA014,1,1949/01/16,9.32,B
02GA014,1,1949/01/17,9.32,B
02GA014,1,1949/01/18,9.32,B
02GA014,1,1949/01/19,9.32,B
02GA014,1,1949/01/20,9.32,B
02GA014,1,1949/01/21,9.32,B
02GA014,1,1949/01/22,9.32,B
02GA014,1,1949/01/23,9.32,B
02GA014,1,1949/01/24,9.32,B
02GA014,1,1949/01/25,9.32,B
02GA014,1,1949/01/26,9.32,B
02GA014,1,1949/01/27,9.32,B
02GA014,1,1949/01/28,9.32,B
02GA014,1,1949/01/29,9.32,B
02GA014,1,1949/01/30,9.32,B
02GA014,1,1949/01/31,9.32,B
02GA014,1,1949/02/01,13.6,B
02GA014,1,1949/02/02,13.6,B
02GA014,1,1949/02/03,13.6,B
02GA014,1,1949/02/04,13.6,B
02GA014,1,1949/02/05,13.6,B
02GA014,1,1949/02/06,13.6,B
02GA014,1,1949/02/07,13.6,B
02GA014,1,1949/02/08,13.6,B
02GA014,1,1949/02/09,13.6,B
02GA014,1,1949/02/10,13.6,B
02GA014,1,1949/02/11,13.6,B
02GA014,1,1949/02/12,13.6,B
02GA014,1,1949/02/13,13.6,B
02GA014,1,1949/02/14,13.6,B
02GA014,1,1949/02/15,13.6,B
02GA014,1,1949/02/16,13.6,B
02GA014,1,1949/02/17,13.6,B
02GA014,1,1949/02/18,13.6,B
02GA014,1,1949/02/19,13.6,B
02GA014,1,1949/02/20,13.6,B
02GA014,1,1949/02/21,13.6,B
02GA014,1,1949/02/22,13.6,B
02GA014,1,1949/02/23,13.6,B
02GA014,1,1949/02/24,13.6,B
02GA014,1,1949/02/25,13.6,B
02GA014,1,1949/02/26,13.6,B
02GA014,1,1949/02/27,13.6,B
02GA014,1,1949/02/28,13.6,B
02GA014,1,1949/03/01,10.4,B
02GA014,1,1949/03/02,10.4,B
02GA014,1,1949/03/03,10.4,B
02GA014,1,1949/03/04,10.4,B
02GA014,1,1949/03/05,10.4,B
02GA014,1,1949/03/06,10.4,B
02GA014,1,1949/03/07,10.4,B
02GA014,1,1949/03/08,10.4,B
02GA014,1,1949/03/09,10.4,B
02GA014,1,1949/03/10,10.4,B
02GA014,1,1949/03/11,10.4,B
02GA014,1,1949/03/12,10.4,B
02GA014,1,1949/03/13,10.4,B
02GA014,1,1949/03/14,10.4,B
02GA014,1,1949/03/15,10.4,B
02GA014,1,1949/03/16,10.4,B
02GA014,1,1949/03/17,10.4,B
02GA014,1,1949/03/18,10.4,B
02GA014,1,1949/03/19,10.4,B
02GA014,1,1949/03/20,10.4,B
02GA014,1,1949/03/21,10.4,B
02GA014,1,1949/03/22,10.4,B
02GA014,1,1949/03/23,10.4,B
02GA014,1,1949/03/24,60.6,
02GA014,1,1949/03/25,79.3,
02GA014,1,1949/03/26,118,
02GA014,1,1949/03/27,165,
02GA014,1,1949/03/28,210,
02GA014,1,1949/03/29,108,
02GA014,1,1949/03/30,78.7,
02GA014,1,1949/03/31,46.4,
02GA014,1,1949/04/01,31.1,
02GA014,1,1949/04/02,29.2,
02GA014,1,1949/04/03,28.6,
02GA014,1,1949/04/04,23.9,
02GA014,1,1949/04/05,20.2,
02GA014,1,1949/04/06,20.4,
02GA014,1,1949/04/07,19.1,
02GA014,1,1949/04/08,15.1,
02GA014,1,1949/04/09,11.1,
02GA014,1,1949/04/10,8.44,
02GA014,1,1949/04/11,6.82,
02GA014,1,1949/04/12,5.69,
02GA014,1,1949/04/13,5.07,
02GA014,1,1949/04/14,4.50,
02GA014,1,1949/04/15,6.12,
02GA014,1,1949/04/16,13.8,
02GA014,1,1949/04/17,11.8,
02GA014,1,1949/04/18,13.6,
02GA014,1,1949/04/19,18.4,
02GA014,1,1949/04/20,20.2,
02GA014,1,1949/04/21,12.6,
02GA014,1,1949/04/22,8.69,
02GA014,1,1949/04/23,9.37,
02GA014,1,1949/04/24,12.3,
02GA014,1,1949/04/25,13.1,
02GA014,1,1949/04/26,9.94,
02GA014,1,1949/04/27,9.80,
02GA014,1,1949/04/28,7.53,
02GA014,1,1949/04/29,5.69,
02GA014,1,1949/04/30,4.50,
02GA014,1,1949/05/01,3.79,
02GA014,1,1949/05/02,3.48,
02GA014,1,1949/05/03,3.11,
02GA014,1,1949/05/04,2.61,
02GA014,1,1949/05/05,2.32,
02GA014,1,1949/05/06,2.07,
02GA014,1,1949/05/07,1.87,
02GA014,1,1949/05/08,1.50,
02GA014,1,1949/05/09,1.22,
02GA014,1,1949/05/10,1.08,
02GA014,1,1949/05/11,0.963,
02GA014,1,1949/05/12,0.850,
02GA014,1,1949/05/13,0.765,
02GA014,1,1949/05/14,0.736,
02GA014,1,1949/05/15,0.651,
02GA014,1,1949/05/16,0.595,
02GA014,1,1949/05/17,0.510,
02GA014,1,1949/05/18,0.453,
02GA014,1,1949/05/19,0.453,
02GA014,1,1949/05/20,0.396,
02GA014,1,1949/05/21,0.396,
02GA014,1,1949/05/22,0.368,
02GA014,1,1949/05/23,0.736,
02GA014,1,1949/05/24,0.934,
02GA014,1,1949/05/25,0.821,
02GA014,1,1949/05/26,0.793,
02GA014,1,1949/05/27,0.708,
02GA014,1,1949/05/28,0.651,
02GA014,1,1949/05/29,0.595,
02GA014,1,1949/05/30,0.481,
02GA014,1,1949/05/31,0.425,
02GA014,1,1949/06/01,0.340,
02GA014,1,1949/06/02,0.311,
02GA014,1,1949/06/03,0.255,
02GA014,1,1949/06/04,0.227,
02GA014,1,1949/06/05,0.142,
02GA014,1,1949/06/06,0.113,
02GA014,1,1949/06/07,0.113,
02GA014,1,1949/06/08,0.085,
02GA014,1,1949/06/09,0.085,
02GA014,1,1949/06/10,0.085,
02GA014,1,1949/06/11,0.057,
02GA014,1,1949/06/12,0.085,
02GA014,1,1949/06/13,0.085,
02GA014,1,1949/06/14,0.085,
02GA014,1,1949/06/15,0.085,
02GA014,1,1949/06/16,0.113,
02GA014,1,1949/06/17,0.113,
02GA014,1,1949/06/18,0.113,
02GA014,1,1949/06/19,0.085,
02GA014,1,1949/06/20,0.085,
02GA014,1,1949/06/21,0.085,
02GA014,1,1949/06/22,0.057,
02GA014,1,1949/06/23,0.057,
02GA014,1,1949/06/24,0.028,
02GA014,1,1949/06/25,0.057,
02GA014,1,1949/06/26,0.057,
02GA014,1,1949/06/27,0.028,
02GA014,1,1949/06/28,0.028,
02GA014,1,1949/06/29,0.028,
02GA014,1,1949/06/30,0.028,
02GA014,1,1949/07/01,0.028,
02GA014,1,1949/07/02,0.028,
02GA014,1,1949/07/03,0.028,
02GA014,1,1949/07/04,0.028,
02GA014,1,1949/07/05,0.028,
02GA014,1,1949/07/06,0.028,
02GA014,1,1949/07/07,0.028,
02GA014,1,1949/07/08,0.028,
02GA014,1,1949/07/09,0.028,
02GA014,1,1949/07/10,0.340,
02GA014,1,1949/07/11,0.142,
02GA014,1,1949/07/12,0.085,
02GA014,1,1949/07/13,0.057,
02GA014,1,1949/07/14,0.057,
02GA014,1,1949/07/15,0.057,
02GA014,1,1949/07/16,0.057,
02GA014,1,1949/07/17,0.028,
02GA014,1,1949/07/18,0.028,
02GA014,1,1949/07/19,0.028,
02GA014,1,1949/07/20,0.028,
02GA014,1,1949/07/21,0.028,
02GA014,1,1949/07/22,0.028,
02GA014,1,1949/07/23,0.028,
02GA014,1,1949/07/24,0.028,
02GA014,1,1949/07/25,0.028,
02GA014,1,1949/07/26,0.028,
02GA014,1,1949/07/27,0.028,
02GA014,1,1949/07/28,0.028,
02GA014,1,1949/07/29,0.028,
